url,type,repo_path,title,title_len,meta_desc,meta_len,h1,n_h1,n_h2,n_h3,n_h4,n_h5,n_h6,hierarchy_valid,canonical,og_title,og_desc,og_image,twitter_card,html_lang,word_count,robots,datePublished,dateModified,schema_types
/404.html,legal-utility,404.html,Page Not Found | SimpleGrid,27,"The page you were looking for is not on SimpleGrid. Head back to the homepage - custom ERP for mid-market manufacturers, built at our risk and paid for after it works.",167,We couldn't find that page.,1,0,0,0,0,0,yes,https://simplegrid.ai/404.html,y,y,y,summary_large_image,en,59,"noindex, follow",,,NONE
/about.html,marketing,about.html,"About SimpleGrid - Custom ERP Built at Our Risk, Paid for After It Works",72,"SimpleGrid was built by operators who ran a $30M factory and survived two ERP failures. Now we ship the ERP we needed - built at our risk, paid for only after it works.",168,Built by operators who've been on your floor.,1,0,0,0,0,0,yes,https://simplegrid.ai/about.html,y,y,y,summary_large_image,en,113,"index, follow",,,WebPage|AboutPage|BreadcrumbList
/accessibility.html,legal-utility,accessibility.html,Accessibility Statement | SimpleGrid,36,SimpleGrid's accessibility commitment. We target WCAG 2.1 AA on the simplegrid.ai marketing site and the SimpleGrid manufacturing ERP platform.,143,Accessibility Statement,1,5,0,0,0,0,yes,https://simplegrid.ai/accessibility.html,y,y,y,n,en,465,"index, follow",,,WebPage|BreadcrumbList
/blog.html,blog-hub,blog.html,SimpleGrid Blog - Field Notes from Operators Building a Custom ERP,66,"Field notes from the team building SimpleGrid: why most ERP rollouts fail, and what changes when you build the ERP around the factory.",134,ERP for manufacturers - field notes from operators who built it.,1,19,0,0,0,0,yes,https://simplegrid.ai/blog.html,y,y,y,summary_large_image,en,550,"index, follow",,,WebPage|Blog|BreadcrumbList
/blog/dynamics-gp-sunset-switch-to-simplegrid/,blog,blog/dynamics-gp-sunset-switch-to-simplegrid/index.html,Dynamics GP Sunset: Switch to SimpleGrid | SimpleGrid Blog,58,"Microsoft Dynamics GP support ends Dec 2029, patches stop in 2031. Skip the 18-month Business Central rip-and-replace. Switch to SimpleGrid - your GP rules, regenerated as a modern ERP.",185,Dynamics GP Sunset: Switch to SimpleGrid,1,8,0,0,0,0,yes,https://simplegrid.ai/blog/dynamics-gp-sunset-switch-to-simplegrid/,y,y,y,summary_large_image,en,1263,"index, follow",2026-05-26,2026-05-26,Article|BreadcrumbList
/blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/,blog,blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/index.html,Entity Roots: Building Blocks of an SG Schema ERP | SimpleGrid Blog,67,"Most ERPs let records exist in isolation - orphans, broken parents, impossible states. An SG Schema does not. Every entity has a root and a boundary.",149,Entity Roots: Building Blocks of an SG Schema ERP,1,7,0,0,0,0,yes,https://simplegrid.ai/blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/,y,y,y,summary_large_image,en,1242,"index, follow",2026-04-01,2026-04-01,Article|BreadcrumbList
/blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/,blog,blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/index.html,Event Sourcing: Why SimpleGrid Stores Every Action Forever | SimpleGrid Blog,76,Most ERPs store today's state. SimpleGrid stores every event that ever happened. Immutable. Permanent. The audit trail IS the architecture.,139,Event Sourcing: Why SimpleGrid Stores Every Action Forever,1,7,0,0,0,0,yes,https://simplegrid.ai/blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/,y,y,y,summary_large_image,en,1158,"index, follow",2026-03-25,2026-03-25,Article|BreadcrumbList
/blog/how-ai-changed-erp-deployment-not-features-deployment/,blog,blog/how-ai-changed-erp-deployment-not-features-deployment/index.html,How AI Changed ERP Deployment (Not Features) | SimpleGrid Blog,62,Every ERP vendor adds AI features to 20-year-old architectures. What AI actually changes is deployment - from 18 months and $500K to days. Here's how.,150,How AI Changed ERP Deployment (Not Features),1,5,0,0,0,0,yes,https://simplegrid.ai/blog/how-ai-changed-erp-deployment-not-features-deployment/,y,y,y,summary_large_image,en,1023,"index, follow",2026-05-10,2026-05-10,Article|BreadcrumbList
/blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/,blog,blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/index.html,"ERP Customization in Minutes, Not Months | SimpleGrid Blog",58,"In most ERPs, changing a business rule is a software project. In SimpleGrid, it is a row in a table. Here is the architecture that makes that possible.",151,"ERP Customization in Minutes, Not Months",1,6,0,0,0,0,yes,https://simplegrid.ai/blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/,y,y,y,summary_large_image,en,915,"index, follow",2026-04-08,2026-04-08,Article|BreadcrumbList
/blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/,blog,blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/index.html,True Landed Cost Per SKU (And Why Most Cannot) | SimpleGrid Blog,64,"Most manufacturers running 200+ SKUs cannot tell you which products actually make money. The data exists, scattered. Here is how to connect it.",143,True Landed Cost Per SKU (And Why Most Cannot),1,5,0,0,0,0,yes,https://simplegrid.ai/blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/,y,y,y,summary_large_image,en,1188,"index, follow",2026-04-22,2026-04-22,Article|BreadcrumbList
