url,sources,in_sitemap,page_type,repo_file
/404.html,repo,NO,legal-utility,404.html
/about.html,"repo,sitemap",yes,marketing,about.html
/accessibility.html,"repo,sitemap",yes,legal-utility,accessibility.html
/blog.html,"repo,sitemap",yes,blog-hub,blog.html
/blog/dynamics-gp-sunset-switch-to-simplegrid/,"repo,sitemap",yes,blog,blog/dynamics-gp-sunset-switch-to-simplegrid/index.html
/blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/,"repo,sitemap",yes,blog,blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/index.html
/blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/,"repo,sitemap",yes,blog,blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/index.html
/blog/how-ai-changed-erp-deployment-not-features-deployment/,"repo,sitemap",yes,blog,blog/how-ai-changed-erp-deployment-not-features-deployment/index.html
/blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/,"repo,sitemap",yes,blog,blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/index.html
/blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/,"repo,sitemap",yes,blog,blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/index.html
/blog/how-we-built-an-erp-chatbot-with-claude-no-rag-and-full-context/,"repo,sitemap",yes,blog,blog/how-we-built-an-erp-chatbot-with-claude-no-rag-and-full-context/index.html
/blog/inside-simplegrid-every-factory-floor-is-different-that-is-the-whole-point/,"repo,sitemap",yes,blog,blog/inside-simplegrid-every-factory-floor-is-different-that-is-the-whole-point/index.html
/blog/module-based-erp-vs-sg-schema-erp-two-architectures-two-outcomes/,"repo,sitemap",yes,blog,blog/module-based-erp-vs-sg-schema-erp-two-architectures-two-outcomes/index.html
/blog/multi-tenant-architecture-how-simplegrid-runs-100-clients-on-one-platform/,"repo,sitemap",yes,blog,blog/multi-tenant-architecture-how-simplegrid-runs-100-clients-on-one-platform/index.html
/blog/sg-schema-why-your-erp-should-speak-your-language/,"repo,sitemap",yes,blog,blog/sg-schema-why-your-erp-should-speak-your-language/index.html
/blog/the-myth-of-erp-best-practices-your-operation-is-not-generic/,"repo,sitemap",yes,blog,blog/the-myth-of-erp-best-practices-your-operation-is-not-generic/index.html
/blog/the-real-cost-of-running-your-factory-on-spreadsheets/,"repo,sitemap",yes,blog,blog/the-real-cost-of-running-your-factory-on-spreadsheets/index.html
/blog/what-happens-when-your-erp-cannot-keep-up-with-your-business/,"repo,sitemap",yes,blog,blog/what-happens-when-your-erp-cannot-keep-up-with-your-business/index.html
/blog/why-conversational-ux-does-not-change-user-behavior-and-why-that-is-the-point/,"repo,sitemap",yes,blog,blog/why-conversational-ux-does-not-change-user-behavior-and-why-that-is-the-point/index.html
/blog/why-mid-market-manufacturers-are-the-most-underserved-businesses-in-enterprise-software/,"repo,sitemap",yes,blog,blog/why-mid-market-manufacturers-are-the-most-underserved-businesses-in-enterprise-software/index.html
/blog/why-your-erp-vendor-charges-you-for-every-change-and-how-to-stop-paying/,"repo,sitemap",yes,blog,blog/why-your-erp-vendor-charges-you-for-every-change-and-how-to-stop-paying/index.html
/blog/why-your-warehouse-manager-should-be-your-erp-s-first-user/,"repo,sitemap",yes,blog,blog/why-your-warehouse-manager-should-be-your-erp-s-first-user/index.html
/case-apex.html,"repo,sitemap",yes,case-study,case-apex.html
/case-furniture-manufacturer.html,"repo,sitemap",yes,case-study,case-furniture-manufacturer.html
/case-studies.html,"repo,sitemap",yes,case-study,case-studies.html
/competitors.html,"repo,sitemap",yes,competitor-hub,competitors.html
/competitors/acumatica/,"repo,sitemap",yes,competitor,competitors/acumatica/index.html
/competitors/doss/,"repo,sitemap",yes,competitor,competitors/doss/index.html
/competitors/dynamics-365/,"repo,sitemap",yes,competitor,competitors/dynamics-365/index.html
/competitors/infor/,"repo,sitemap",yes,competitor,competitors/infor/index.html
