url,types,n_blocks
/404.html,NONE,0
/about.html,WebPage|AboutPage|BreadcrumbList,1
/accessibility.html,WebPage|BreadcrumbList,1
/blog.html,WebPage|Blog|BreadcrumbList,1
/blog/dynamics-gp-sunset-switch-to-simplegrid/,Article|BreadcrumbList,2
/blog/entity-roots-the-building-blocks-of-an-sg-schema-erp/,Article|BreadcrumbList,2
/blog/event-sourcing-why-simplegrid-stores-everything-that-ever-happened/,Article|BreadcrumbList,2
/blog/how-ai-changed-erp-deployment-not-features-deployment/,Article|BreadcrumbList,2
/blog/how-simplegrid-makes-erp-customization-take-minutes-not-months/,Article|BreadcrumbList,2
/blog/how-to-calculate-true-landed-cost-per-sku-and-why-most-manufacturers-cannot/,Article|BreadcrumbList,2
/blog/how-we-built-an-erp-chatbot-with-claude-no-rag-and-full-context/,Article|BreadcrumbList,2
/blog/inside-simplegrid-every-factory-floor-is-different-that-is-the-whole-point/,Article|BreadcrumbList,2
/blog/module-based-erp-vs-sg-schema-erp-two-architectures-two-outcomes/,Article|BreadcrumbList,2
/blog/multi-tenant-architecture-how-simplegrid-runs-100-clients-on-one-platform/,Article|BreadcrumbList,2
/blog/sg-schema-why-your-erp-should-speak-your-language/,Article|BreadcrumbList,2
/blog/the-myth-of-erp-best-practices-your-operation-is-not-generic/,Article|BreadcrumbList,2
/blog/the-real-cost-of-running-your-factory-on-spreadsheets/,Article|BreadcrumbList,2
/blog/what-happens-when-your-erp-cannot-keep-up-with-your-business/,Article|BreadcrumbList,2
/blog/why-conversational-ux-does-not-change-user-behavior-and-why-that-is-the-point/,Article|BreadcrumbList,2
/blog/why-mid-market-manufacturers-are-the-most-underserved-businesses-in-enterprise-software/,Article|BreadcrumbList,2
/blog/why-your-erp-vendor-charges-you-for-every-change-and-how-to-stop-paying/,Article|BreadcrumbList,2
/blog/why-your-warehouse-manager-should-be-your-erp-s-first-user/,Article|BreadcrumbList,2
/case-apex.html,WebPage|Article|BreadcrumbList,1
/case-furniture-manufacturer.html,WebPage|Article|BreadcrumbList,1
/case-studies.html,WebPage|CollectionPage|BreadcrumbList,1
/competitors.html,NONE,0
/competitors/acumatica/,NONE,0
/competitors/doss/,NONE,0
/competitors/dynamics-365/,NONE,0
/competitors/infor/,NONE,0
/competitors/jobboss2/,NONE,0
/competitors/netsuite/,NONE,0
/competitors/odoo/,NONE,0
/competitors/sap-business-one/,NONE,0
/furniture-erp/,NONE,0
/hiring.html,WebPage|BreadcrumbList|JobPosting|JobPosting,1
/,Organization|WebSite|SoftwareApplication|WebPage,1
/pricing.html,WebPage|SoftwareApplication|BreadcrumbList|FAQPage,1
/privacy.html,WebPage|BreadcrumbList,1
/product.html,WebPage|SoftwareApplication|BreadcrumbList,1
/security.html,WebPage|BreadcrumbList,1
/sg-schema.html,WebPage|BreadcrumbList,1
/terms.html,WebPage|BreadcrumbList,1
/tools/automation-roi-estimator/,SoftwareApplication|BreadcrumbList,1
/tools/bill-of-materials-template/,SoftwareApplication|BreadcrumbList,1
/tools/break-even-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/burden-rate-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/business-valuation-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/capacity-planning-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/cost-of-poor-quality/,SoftwareApplication|BreadcrumbList,1
/tools/customer-concentration-risk/,SoftwareApplication|BreadcrumbList,1
/tools/digital-maturity-assessment/,SoftwareApplication|BreadcrumbList,1
/tools/downtime-cost-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/ebitda-calculator/,SoftwareApplication|BreadcrumbList|FAQPage,1
/tools/erp-needs-assessment/,SoftwareApplication|BreadcrumbList,1
/tools/erp-readiness-scorecard/,SoftwareApplication|BreadcrumbList,1
/tools/exit-readiness-scorecard/,SoftwareApplication|BreadcrumbList,1
/tools/expansion-roi-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/hire-vs-overtime/,SoftwareApplication|BreadcrumbList,1
/tools/,CollectionPage|BreadcrumbList,1
/tools/insurance-coverage-checklist/,SoftwareApplication|BreadcrumbList,1
/tools/invoice-generator/,SoftwareApplication|BreadcrumbList|FAQPage,1
/tools/iso-9001-readiness/,SoftwareApplication|BreadcrumbList,1
/tools/job-cost-calculator/,SoftwareApplication|BreadcrumbList|FAQPage,1
/tools/lease-vs-buy-equipment/,SoftwareApplication|BreadcrumbList,1
/tools/make-vs-buy-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/manufacturing-kpi-benchmark/,SoftwareApplication|BreadcrumbList,1
/tools/markup-vs-margin/,SoftwareApplication|BreadcrumbList|FAQPage,1
/tools/oee-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/operations-health-score/,SoftwareApplication|BreadcrumbList,1
/tools/osha-compliance-checklist/,SoftwareApplication|BreadcrumbList,1
/tools/production-schedule-template/,SoftwareApplication|BreadcrumbList,1
/tools/purchase-order-generator/,SoftwareApplication|BreadcrumbList|FAQPage,1
/tools/quality-inspection-checklist/,SoftwareApplication|BreadcrumbList,1
/tools/quote-generator/,SoftwareApplication|BreadcrumbList,1
/tools/reorder-point-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/revenue-per-employee/,SoftwareApplication|BreadcrumbList,1
/tools/scrap-waste-calculator/,SoftwareApplication|BreadcrumbList,1
/tools/sde-calculator/,SoftwareApplication|BreadcrumbList,1
